Ubat,accx1,accy1,accz1,Acc1_Temp,accx2,accy2,accz2,Acc2_Temp,Abs_Pressure,Vector_Temp,Pressure_I,Pressure_Kiel,Pressure_Lacet,Air_Temp_I,Air_Temp_KIEL,Air_Temp_Lacet,Time,latitude,longitude,altGPS,vitesseGPS,UTC_h,UTC_m,UTC_s,dateGPS,Probe,DP,IAS_raw,IAS,Rho,TAS,TAS_knots,Time_UTC_x,Time_UTC_y, Latitude, Longitude, Heading,Cyclops bureau,Unnamed: 5
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.367,44.6590218,-1.19450156,100.1,59.0,
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.467,44.6590218,-1.19450156,100.1,59.0,
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.567,44.6590218,-1.19450156,100.1,59.0,
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.668,44.6590218,-1.19450156,100.1,59.0,
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.767,44.6590218,-1.19450156,100.1,59.0,
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.867,44.6590218,-1.19450156,100.1,59.0,
3.93,-0.238307,-7.911963,-5.607397,20.17,0.319904,7.848022,-5.420612,19.2,1.012744,22.81,-2.0458,-3.15,-3.9333,24.36,23.86,22.78,2969,44.659016,-1.194553,52.4,0.0,15,58,31,9.2,,-3.0046092595957115,2.2148328391692194,2.218112017431093,1.1922181930956885,2.248400362916918,4.370530561452422,2000-01-01 15:58:31,2024-10-10 15:58:31.967,44.6590218,-1.19450156,100.1,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.067,44.6590218,-1.19450156,100.1,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.168,44.6590218,-1.19450156,194.7,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.267,44.6590218,-1.19450156,194.7,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.367,44.65902523,-1.19451405,211.4,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.467,44.65902523,-1.19451405,211.4,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.567,44.65902523,-1.19451405,211.4,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.667,44.65902523,-1.19451405,211.4,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.767,44.65902523,-1.19451405,211.4,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.867,44.65902523,-1.19451405,211.4,59.0,
3.93,1.099813,-7.286819,-6.455637,20.17,-1.034326,7.246769,-6.204162,19.2,1.012747,22.83,0.8583,0.25,0.1458,24.33,23.89,22.79,3477,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,0.23846034596992138,0.6239575416872875,0.6592638943199596,1.1921411637777046,0.668287739903574,1.2990444403341634,2000-01-01 15:58:32,2024-10-10 15:58:32.967,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.067,44.6590218,-1.19450156,100.1,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.168,44.6590218,-1.19450156,194.7,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.267,44.6590218,-1.19450156,194.7,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.367,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.467,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.567,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.667,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.767,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.867,44.65902523,-1.19451405,211.4,59.0,
3.94,3.830918,-7.729467,-4.373766,20.17,-4.223541,7.826525,-3.895756,19.2,1.012746,22.84,28.7417,-6.167,18.0667,24.39,23.92,22.85,3980,44.659012,-1.194564,51.5,0.0,15,58,32,9.2,,-5.882345622693154,3.0990046124635655,3.0838665100115334,1.1920997102812592,3.1261320847841096,6.076700591686744,2000-01-01 15:58:32,2024-10-10 15:58:32.967,44.65902523,-1.19451405,211.4,59.0,
3.93,6.455137,-7.942138,-0.234267,20.17,-6.356983,7.924282,-0.309031,19.2,1.012732,22.85,32.2583,-1.333,29.775,24.38,23.92,22.87,4481,44.658997,-1.194571,50.4,0.0,15,58,33,9.2,,-1.2714893969974286,1.4407987563578517,1.4598389846697202,1.1920429578489862,1.4798818654305694,2.8766535652985583,2000-01-01 15:58:33,2024-10-10 15:58:33.067,44.65902523,-1.19451405,211.4,59.0,
3.93,6.455137,-7.942138,-0.234267,20.17,-6.356983,7.924282,-0.309031,19.2,1.012732,22.85,32.2583,-1.333,29.775,24.38,23.92,22.87,4481,44.658997,-1.194571,50.4,0.0,15,58,33,9.2,,-1.2714893969974286,1.4407987563578517,1.4598389846697202,1.1920429578489862,1.4798818654305694,2.8766535652985583,2000-01-01 15:58:33,2024-10-10 15:58:33.167,44.65902523,-1.19451405,211.4,59.0,
3.93,6.455137,-7.942138,-0.234267,20.17,-6.356983,7.924282,-0.309031,19.2,1.012732,22.85,32.2583,-1.333,29.775,24.38,23.92,22.87,4481,44.658997,-1.194571,50.4,0.0,15,58,33,9.2,,-1.2714893969974286,1.4407987563578517,1.4598389846697202,1.1920429578489862,1.4798818654305694,2.8766535652985583,2000-01-01 15:58:33,2024-10-10 15:58:33.267,44.65902445,-1.19450832,252.9,59.0,
3.93,6.455137,-7.942138,-0.234267,20.17,-6.356983,7.924282,-0.309031,19.2,1.012732,22.85,32.2583,-1.333,29.775,24.38,23.92,22.87,4481,44.658997,-1.194571,50.4,0.0,15,58,33,9.2,,-1.2714893969974286,1.4407987563578517,1.4598389846697202,1.1920429578489862,1.4798818654305694,2.8766535652985583,2000-01-01 15:58:33,2024-10-10 15:58:33.367,44.65902445,-1.19450832,252.9,59.0,
3.93,6.455137,-7.942138,-0.234267,20.17,-6.356983,7.924282,-0.309031,19.2,1.012732,22.85,32.2583,-1.333,29.775,24.38,23.92,22.87,4481,44.658997,-1.194571,50.4,0.0,15,58,33,9.2,,-1.2714893969974286,1.4407987563578517,1.4598389846697202,1.1920429578489862,1.4798818654305694,2.8766535652985583,2000-01-01 15:58:33,2024-10-10 15:58:33.467,44.65902445,-1.19450832,252.9,59.0,
3.93,6.455137,-7.942138,-0.234267,20.17,-6.356983,7.924282,-0.309031,19.2,1.012732,22.85,32.2583,-1.333,29.775,24.38,23.92,22.87,4481,44.658997,-1.194571,50.4,0.0,15,58,33,9.2,,-1.2714893969974286,1.4407987563578517,1.4598389846697202,1.1920429578489862,1.4798818654305694,2.8766535652985583,2000-01-01 15:58:33,2024-10-10 15:58:33.567,44.65902445,-1.19450832,252.9,59.0,
